person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_per_year_employed,predicted_pd,risk_band,actual_default,recommendation
24,30000,OWN,1.0,MEDICAL,15000,0.5,0,3,15000.0,0.08767449165183777,Low Risk,1,"Consider approval, subject to lender policy"
23,60000,MORTGAGE,6.0,EDUCATION,25600,0.43,0,4,8571.42857142857,0.17454793233483332,Medium Risk,0,Consider manual review
29,18000,RENT,2.0,EDUCATION,3600,0.2,0,6,6000.0,0.9383823287201539,Very High Risk,1,High-risk application; apply lender policy
32,130000,MORTGAGE,7.0,MEDICAL,13000,0.1,0,8,16250.0,0.07482013083800845,Low Risk,0,"Consider approval, subject to lender policy"
23,45288,MORTGAGE,7.0,DEBTCONSOLIDATION,20500,0.45,0,2,5661.0,0.29792024819563406,High Risk,0,Additional assessment required
25,60000,MORTGAGE,2.0,PERSONAL,6900,0.12,0,2,20000.0,0.06880436364427663,Low Risk,0,"Consider approval, subject to lender policy"
27,60000,RENT,2.0,VENTURE,9200,0.15,0,7,20000.0,0.07665520014037462,Low Risk,0,"Consider approval, subject to lender policy"
35,91000,OWN,6.0,VENTURE,5600,0.06,0,8,13000.0,0.005722292003890719,Low Risk,0,"Consider approval, subject to lender policy"
28,57000,MORTGAGE,13.0,PERSONAL,9600,0.17,1,9,4071.4285714285716,0.20398869292111446,Medium Risk,0,Consider manual review
26,127992,MORTGAGE,10.0,PERSONAL,26000,0.2,0,2,11635.636363636364,0.08621993459342397,Low Risk,0,"Consider approval, subject to lender policy"
25,112000,RENT,7.0,DEBTCONSOLIDATION,5000,0.04,0,3,14000.0,0.06665270633250009,Low Risk,0,"Consider approval, subject to lender policy"
29,144000,MORTGAGE,13.0,VENTURE,16000,0.11,0,6,10285.714285714286,0.024627426408055014,Low Risk,0,"Consider approval, subject to lender policy"
26,260000,OWN,10.0,HOMEIMPROVEMENT,28000,0.11,0,3,23636.363636363636,0.02560673703693426,Low Risk,0,"Consider approval, subject to lender policy"
22,44004,MORTGAGE,3.0,EDUCATION,9000,0.2,0,4,11001.0,0.07835084327306534,Low Risk,1,"Consider approval, subject to lender policy"
44,36000,RENT,6.0,VENTURE,4000,0.11,0,12,5142.857142857143,0.05691888825778562,Low Risk,0,"Consider approval, subject to lender policy"
24,61100,RENT,1.0,DEBTCONSOLIDATION,15000,0.25,0,2,30550.0,0.16684696684254283,Medium Risk,0,Consider manual review
26,50000,MORTGAGE,5.0,HOMEIMPROVEMENT,12375,0.25,0,3,8333.333333333334,0.09787256426288996,Low Risk,0,"Consider approval, subject to lender policy"
36,50000,RENT,4.0,HOMEIMPROVEMENT,15000,0.3,0,14,10000.0,0.1952653427260746,Medium Risk,0,Consider manual review
37,38400,RENT,6.0,EDUCATION,23500,0.61,1,16,5485.714285714285,0.9629972297565155,Very High Risk,1,High-risk application; apply lender policy
24,85000,MORTGAGE,8.0,EDUCATION,20000,0.24,0,4,9444.444444444445,0.042757946252041816,Low Risk,0,"Consider approval, subject to lender policy"
24,113000,RENT,4.0,DEBTCONSOLIDATION,12000,0.11,0,2,22600.0,0.07289639829813956,Low Risk,0,"Consider approval, subject to lender policy"
25,130000,MORTGAGE,9.0,VENTURE,21000,0.16,0,3,13000.0,0.024419245985227968,Low Risk,0,"Consider approval, subject to lender policy"
24,40000,RENT,4.0,MEDICAL,8000,0.2,0,3,8000.0,0.12336061308540189,Low Risk,0,"Consider approval, subject to lender policy"
31,60000,RENT,11.0,EDUCATION,15000,0.25,0,7,5000.0,0.08688916641210145,Low Risk,0,"Consider approval, subject to lender policy"
23,53950,MORTGAGE,8.0,EDUCATION,15000,0.28,1,2,5994.444444444444,0.2736301323499414,High Risk,1,Additional assessment required
24,80000,MORTGAGE,8.0,MEDICAL,9000,0.11,0,4,8888.888888888889,0.0712697056265625,Low Risk,0,"Consider approval, subject to lender policy"
25,80000,OWN,6.0,EDUCATION,25000,0.31,0,4,11428.57142857143,0.050173859981968175,Low Risk,0,"Consider approval, subject to lender policy"
24,79000,RENT,0.0,MEDICAL,8000,0.1,0,2,79000.0,0.13357769138974485,Low Risk,0,"Consider approval, subject to lender policy"
24,36000,RENT,0.0,DEBTCONSOLIDATION,4000,0.11,0,4,36000.0,0.1382158849736307,Low Risk,0,"Consider approval, subject to lender policy"
24,74000,RENT,7.0,EDUCATION,8000,0.11,1,2,9250.0,0.21040808799175226,Medium Risk,0,Consider manual review
24,120000,RENT,4.0,HOMEIMPROVEMENT,10000,0.08,1,4,24000.0,0.16634729072378338,Medium Risk,0,Consider manual review
36,24000,MORTGAGE,2.0,MEDICAL,1500,0.06,0,14,8000.0,0.18758859725352878,Medium Risk,0,Consider manual review
22,70550,RENT,4.0,MEDICAL,12000,0.14,0,3,14110.0,0.0985004299645177,Low Risk,1,"Consider approval, subject to lender policy"
31,46700,MORTGAGE,5.0,MEDICAL,7200,0.15,0,6,7783.333333333333,0.16038155731093473,Medium Risk,0,Consider manual review
27,36000,RENT,3.0,PERSONAL,10000,0.28,1,7,9000.0,0.31180410267686437,High Risk,0,Additional assessment required
32,50000,RENT,6.0,DEBTCONSOLIDATION,10000,0.2,0,8,7142.857142857143,0.13494655194098465,Low Risk,0,"Consider approval, subject to lender policy"
24,47480,RENT,8.0,MEDICAL,6900,0.15,0,2,5275.555555555556,0.16247860151408008,Medium Risk,0,Consider manual review
25,25000,RENT,5.0,MEDICAL,9000,0.36,0,2,4166.666666666667,0.9743091258019262,Very High Risk,1,High-risk application; apply lender policy
22,41000,MORTGAGE,4.0,VENTURE,6000,0.15,0,4,8200.0,0.03698489564916249,Low Risk,0,"Consider approval, subject to lender policy"
22,45504,RENT,2.0,DEBTCONSOLIDATION,11000,0.24,0,2,15168.0,0.16057991822739023,Medium Risk,0,Consider manual review
35,34000,MORTGAGE,4.0,DEBTCONSOLIDATION,12800,0.38,0,7,6800.0,0.37517944244477247,High Risk,0,Additional assessment required
23,28800,MORTGAGE,0.0,MEDICAL,6000,0.21,0,2,28800.0,0.18072979465803649,Medium Risk,0,Consider manual review
21,15600,RENT,5.0,VENTURE,2700,0.17,0,3,2600.0,0.8635692034456399,Very High Risk,1,High-risk application; apply lender policy
24,51500,MORTGAGE,6.0,MEDICAL,4000,0.08,0,2,7357.142857142857,0.1717323633199578,Medium Risk,0,Consider manual review
41,92000,MORTGAGE,5.0,HOMEIMPROVEMENT,8000,0.09,0,13,15333.333333333334,0.040768281027077385,Low Risk,0,"Consider approval, subject to lender policy"
33,110000,MORTGAGE,10.0,MEDICAL,18000,0.16,0,9,10000.0,0.10188368195642146,Low Risk,0,"Consider approval, subject to lender policy"
24,80000,RENT,6.0,MEDICAL,6400,0.08,0,4,11428.57142857143,0.06192463000519122,Low Risk,0,"Consider approval, subject to lender policy"
24,60000,RENT,1.0,EDUCATION,10000,0.17,0,2,30000.0,0.08661820440540118,Low Risk,0,"Consider approval, subject to lender policy"
23,60000,OWN,5.0,EDUCATION,16000,0.27,1,4,10000.0,0.03810880146971306,Low Risk,0,"Consider approval, subject to lender policy"
33,25200,RENT,3.0,MEDICAL,1600,0.06,0,6,6300.0,0.1828068230127276,Medium Risk,1,Consider manual review
25,90000,MORTGAGE,5.0,VENTURE,10000,0.11,1,3,15000.0,0.06375607635998506,Low Risk,0,"Consider approval, subject to lender policy"
23,92004,RENT,6.0,PERSONAL,30000,0.33,1,3,13143.42857142857,0.9620941124795448,Very High Risk,1,High-risk application; apply lender policy
21,30000,RENT,1.0,PERSONAL,5600,0.19,0,2,15000.0,0.27047471989317384,High Risk,1,Additional assessment required
22,25000,OWN,6.0,VENTURE,13000,0.52,0,3,3571.4285714285716,0.03467434031196925,Low Risk,0,"Consider approval, subject to lender policy"
23,48000,RENT,5.0,EDUCATION,15000,0.31,0,2,8000.0,0.9409294796535913,Very High Risk,1,High-risk application; apply lender policy
34,52000,RENT,2.0,VENTURE,5000,0.1,1,8,17333.333333333332,0.31279222448701355,High Risk,0,Additional assessment required
31,80004,MORTGAGE,9.0,MEDICAL,3500,0.04,0,10,8000.4,0.07143528387384016,Low Risk,0,"Consider approval, subject to lender policy"
23,39325,MORTGAGE,3.0,EDUCATION,2800,0.07,0,4,9831.25,0.1032153198040813,Low Risk,1,"Consider approval, subject to lender policy"
35,62000,MORTGAGE,9.0,HOMEIMPROVEMENT,13000,0.21,0,10,6200.0,0.07060377607907986,Low Risk,1,"Consider approval, subject to lender policy"
23,44500,MORTGAGE,4.0,EDUCATION,9250,0.21,0,3,8900.0,0.07514276003372705,Low Risk,0,"Consider approval, subject to lender policy"
